date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1/26/2011,24.7101,24.8799,24.0999,24.75,1079866,1.65,0.29,24324390.45
1/27/2011,24.7401,25.08,24.5301,24.9201,895654,1.6613,0.68,22506559.25
1/28/2011,24.8799,24.8799,23.7501,24.0099,1048810,1.6007,-3.65,21762367.25
1/31/2011,24.0501,24.12,23.4999,24.0999,831574,1.6067,0.37,21322663.25
2/1/2011,24.3099,24.7299,23.5401,23.91,707791,1.594,-0.79,20890443.55
2/2/2011,24.1599,24.18,23.6691,23.94,569472,1.596,0.13,20425744.35
2/3/2011,23.82,23.9001,23.1501,23.6301,512067,1.5753,-1.3,19724642.9
2/4/2011,23.4399,23.67,23.22,23.46,543917,1.564,-0.72,18586667.95
2/7/2011,23.2599,23.2599,22.8801,23.07,895010,1.538,-1.66,17570771.2
2/8/2011,23.7801,25.2501,23.0001,24.4899,3505182,1.6327,6.16,19192549.4
2/9/2011,24.1299,24.18,22.7901,23.2101,2636261,1.5473,-5.23,19886229.6
2/10/2011,23.2599,23.64,22.8099,23.2149,836019,1.5477,0.03,19789703.1
2/11/2011,23.25,23.7501,22.9401,23.25,636602,1.55,0.15,19724513.1
2/14/2011,23.64,24.1401,23.0499,23.0799,1283403,1.5387,-0.73,19792975.35
2/15/2011,23.01,23.1699,22.56,22.8399,960850,1.5227,-1.04,19295734.35
2/16/2011,23.1,24.9699,23.07,24.7299,4115805,1.6487,8.27,20603953.3
2/17/2011,24.63,25.4901,23.55,23.6001,2619941,1.5733,-4.57,20858941.25
2/18/2011,23.3301,23.49,22.9599,23.1801,2370769,1.5453,-1.78,21724312.95
2/22/2011,22.8801,23.0001,21.78,21.87,2064539,1.458,-5.65,22038826.2
2/23/2011,22.1799,22.5,21.1101,21.8301,1605707,1.4553,-0.19,22289439.45
2/24/2011,21.78,22.5801,21.5001,22.53,1055449,1.502,3.21,22271126.7
2/25/2011,22.8099,23.85,22.6899,23.61,1347256,1.574,4.79,22609828.2
2/28/2011,23.7399,24.0999,23.4999,23.8899,1051105,1.5927,1.19,22611549.45
3/1/2011,24.0501,24.3201,23.7,23.94,1106349,1.596,0.21,22817630.7
3/2/2011,23.82,24.2799,23.7249,24.0201,663294,1.6013,0.33,22784257.95
3/3/2011,24.48,24.7899,24.06,24.36,640140,1.624,1.42,22837258.95
3/4/2011,24.48,24.99,23.7801,24.9501,1580099,1.6633,2.42,23638283.65
3/7/2011,24.93,25.4001,24.6999,24.9399,2033530,1.6627,-0.04,24755494.1
3/8/2011,24.6,24.96,24,24.66,1399850,1.644,-1.12,25134124.1
3/9/2011,24.66,24.99,24.27,24.72,924720,1.648,0.24,23198777.65
3/10/2011,24.4401,24.4899,23.73,24.0099,1017046,1.6007,-2.87,21984366.45
3/11/2011,23.85,24.2499,23.5299,24.0699,930793,1.6047,0.25,22055446.95
3/14/2011,23.82,24,23.1999,23.25,1165970,1.55,-3.41,22452473.65
3/15/2011,22.2,22.9599,21.8001,22.95,1318868,1.53,-1.29,22479072.4
3/16/2011,22.86,23.25,22.6899,22.8201,1169675,1.5213,-0.57,22635691.15
3/17/2011,23.2401,23.43,22.6401,22.8099,922503,1.5207,-0.04,20240714.75
3/18/2011,23.19,23.19,22.5099,22.9599,687823,1.5307,0.66,18791625.6
3/21/2011,23.0499,23.0499,22.5399,22.7301,411650,1.5153,-1.01,17322285.7
3/22/2011,22.7301,22.86,21.9999,22.1901,582813,1.4793,-2.38,16210990.5
3/23/2011,22.11,22.2699,21.7701,22.2099,422793,1.4807,0.09,15323804.3
3/24/2011,22.14,22.38,21.9801,22.3299,462160,1.4887,0.54,14878836.85
3/25/2011,22.4301,23.0001,22.4001,22.7499,567922,1.5167,1.88,14294335.65
3/28/2011,22.7001,23.5389,22.5501,23.25,1058017,1.55,2.2,14299519.65
